type,fund,fund_size,beneficial_units,total_beneficiaries
AA1,兆豐台灣金傳精選股息基金-後收型,"26,902,028","2,628,392.29",2
兆豐投信,,"83,710,987,352","5,908,493,531.88","17,601"
AD1,第一金全家福貨幣市場基金,"24,856,421,794","137,924,274.13",470
AA2,第一金全球大趨勢基金,"418,132,436","11,760,596.60","1,748"
AA2,第一金亞洲科技基金,"542,760,449","17,687,048.60","1,327"
AA1,第一金電子基金,"1,387,046,863","20,782,025.70","3,684"
AD1,第一金台灣貨幣市場基金,"45,051,646,689","2,911,923,099.70",735
AA1,第一金店頭市場基金,"345,799,895","24,555,676.80","1,744"
AC23,第一金全球高收益債券基金-累積型-新臺幣,"300,098,945","20,161,183.70",236
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,第一金全球高收益債券基金-配息型-新臺幣,"1,240,547,049","170,390,717.80",281
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,第一金全球高收益債券基金-累積型-美元,"52,720,812","176,454.20",9
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,第一金全球高收益債券基金-配息型-美元,"22,368,663","114,973.10",4
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,第一金全球高收益債券基金-累積型-人民幣,"10,707,888","203,580.40",6
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,第一金全球高收益債券基金-配息型-人民幣,"12,046,485","345,814.40",4
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,第一金全球高收益債券基金-累積型-新臺幣-N,"2,437,683","163,493.20",1
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,第一金全球高收益債券基金-配息型-新臺幣-N,"33,300,131","4,562,412.10",1
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,第一金全球高收益債券基金-累積型-美元-N,"12,612,725","42,212.60",1
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,第一金全球高收益債券基金-配息型-美元-N,"980,716","5,052.40",1
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,第一金全球高收益債券基金-累積型-人民幣-N,"4,835,901","91,951.60",1
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,第一金全球高收益債券基金-配息型-人民幣-N,"19,534,236","560,188.60",1
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,第一金全球高收益債券基金-累積型-新臺幣-I,0,0.00,0
,(本基金主要係投資於非投資等級之高風險債券),,,
AA2,第一金中國世紀基金-新臺幣,"1,180,645,782","83,936,893.60",985
AA2,第一金中國世紀基金-人民幣,"244,625,318","2,847,907.40",32
AA2,第一金中國世紀基金-美元,"20,920,374","56,709.70",12
AA2,第一金中國世紀基金-新臺幣-N,"481,643","34,172.10",1
AA2,第一金中國世紀基金-人民幣-N,"1,825,189","21,139.30",1
AA2,第一金中國世紀基金-美元-N,"42,487",115.10,1
AA2,第一金亞洲新興市場基金,"312,991,891","23,868,701.40","1,583"
AA1,第一金創新趨勢基金-A類型,"1,537,917,056","37,752,658.20","5,925"
AA1,第一金創新趨勢基金-I類型,0,0.00,0
AD2,第一金人民幣貨幣市場基金-新臺幣,"117,887,425","11,657,381.10",49
AD2,第一金人民幣貨幣市場基金-人民幣,"111,149,193","2,138,476.60",18
AA2,第一金全球AI機器人及自動化產業基金-新臺幣,"2,704,507,196","136,128,326.20","2,568"
AA2,第一金全球AI機器人及自動化產業基金-美元,"947,771,514","1,459,617.60",86
AA2,第一金全球AI機器人及自動化產業基金-新臺幣-N,"6,528,685","327,940.90",4
AA2,第一金全球AI機器人及自動化產業基金-美元-N,"7,614,031","11,715.30",5
AA2,第一金全球AI機器人及自動化產業基金-新臺幣-I,0,0.00,0
AA2,第一金全球AI FinTech金融科技基金-新臺幣,"966,926,920","49,926,110.60","1,563"
AA2,第一金全球AI FinTech金融科技基金-美元,"189,407,284","304,520.60",58
AA2,第一金全球AI FinTech金融科技基金-新臺幣-N,"3,745,048","193,290.10",1
AA2,第一金全球AI FinTech金融科技基金-美元-N,"19,642,747","31,593.10",4
AA2,第一金全球AI FinTech金融科技基金-新臺幣-I,0,0.00,0
AE23,第一金全球大四喜收益組合基金-累積型-新臺幣,"78,058,042","7,434,683.40",72
,(本基金得投資於非投資等級之高風險債券基金),,,
AE23,第一金全球大四喜收益組合基金-配息型-新臺幣,"24,818,638","2,864,791.60",37
,(本基金得投資於非投資等級之高風險債券基金且本基金之配息來源可能為本金),,,
AE23,第一金全球大四喜收益組合基金-累積型-美元,"30,576,211","94,498.20",13
,(本基金得投資於非投資等級之高風險債券基金),,,
AE23,第一金全球大四喜收益組合基金-配息型-美元,"23,002,395","85,381.80",2
,(本基金得投資於非投資等級之高風險債券基金且本基金之配息來源可能為本金),,,
AE23,第一金全球大四喜收益組合基金-累積型-新臺幣-N,"7,501,608","713,529.00",1
,(本基金得投資於非投資等級之高風險債券基金),,,
AE23,第一金全球大四喜收益組合基金-配息型-新臺幣-N,0,0.00,0
,(本基金得投資於非投資等級之高風險債券基金且本基金之配息來源可能為本金),,,
AE23,第一金全球大四喜收益組合基金-累積型-美元-N,"24,297",87.10,1
,(本基金得投資於非投資等級之高風險債券基金),,,
AE23,第一金全球大四喜收益組合基金-配息型-美元-N,0,0.00,0
,(本基金得投資於非投資等級之高風險債券基金且本基金之配息來源可能為本金),,,
AA2,第一金全球水電瓦斯及基礎建設收益基金-累積型-新臺幣,"1,170,987,103","92,079,538.40",753
AA2,第一金全球水電瓦斯及基礎建設收益基金-配息型-新臺幣,"1,029,268,189","99,334,783.30",319
,(本基金之配息來源可能為本金),,,
AA2,第一金全球水電瓦斯及基礎建設收益基金-累積型-美元,"759,904,723","1,901,593.10",80
AA2,第一金全球水電瓦斯及基礎建設收益基金-配息型-美元,"493,638,439","1,517,300.50",26
,(本基金之配息來源可能為本金),,,
AA2,第一金全球水電瓦斯及基礎建設收益基金-累積型-新臺幣-N,"43,055,727","3,386,483.60",10
AA2,第一金全球水電瓦斯及基礎建設收益基金-配息型-新臺幣-N,"439,024,874","42,368,288.20",18
,(本基金之配息來源可能為本金),,,
AA2,第一金全球水電瓦斯及基礎建設收益基金-累積型-美元-N,"159,699,063","399,581.80",11
AA2,第一金全球水電瓦斯及基礎建設收益基金-配息型-美元-N,"435,043,688","1,336,362.00",10
,(本基金之配息來源可能為本金),,,
AA2,第一金全球水電瓦斯及基礎建設收益基金-累積型-新臺幣-I,"325,442,472","25,453,611.70",2
AG,第一金全球不動產證券化基金A,"86,409,941","7,791,991.10",208
AG,第一金全球不動產證券化基金B,"48,774,344","6,720,112.50",92
,(本基金之配息來源可能為本金),,,
AH11,第一金臺灣工業菁英30 ETF基金,"1,019,914,723","32,423,000.00","10,405"
AA2,第一金全球AI精準醫療基金-新臺幣,"2,421,441,953","173,506,038.00","2,437"
AA2,第一金全球AI精準醫療基金-美元,"1,381,692,403","3,268,757.70",102
AA2,第一金全球AI精準醫療基金-新臺幣-N,"36,595,046","2,622,351.20",11
AA2,第一金全球AI精準醫療基金-美元-N,"127,285,247","301,146.10",5
AA2,第一金全球AI精準醫療基金-新臺幣-I,"128,520,633","9,132,751.00",2
AA2,第一金全球AI人工智慧基金-新臺幣,"2,103,390,948","113,713,390.10","2,395"
AA2,第一金全球AI人工智慧基金-美元,"1,095,583,123","1,916,529.90",90
AA2,第一金全球AI人工智慧基金-新臺幣-N,"67,827,349","3,665,636.70",9
AA2,第一金全球AI人工智慧基金-美元-N,"171,997,433","300,943.90",8
AA2,第一金全球AI人工智慧基金-新臺幣-I,0,0.00,0
AA1,第一金小型精選基金,"611,776,497","10,200,968.80","1,517"
AH22,第一金彭博巴克萊美國10年期以上金融債券指數ETF基金,"708,952,801","17,198,000.00",46
AC21,第一金美國100大企業債券基金-累積型-新臺幣,"510,103,435","52,766,722.50",278
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金美國100大企業債券基金-配息型-新臺幣,"87,554,144","9,618,308.80",36
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金美國100大企業債券基金-累積型-美元,"158,248,019","526,324.70",41
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金美國100大企業債券基金-配息型-美元,"26,531,010","93,625.10",5
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金美國100大企業債券基金-累積型-新臺幣-N,"180,587,221","18,680,389.40",6
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金美國100大企業債券基金-配息型-新臺幣-N,"49,431,081","5,430,343.20",4
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金美國100大企業債券基金-累積型-美元-N,"326,525,089","1,085,963.80",5
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金美國100大企業債券基金-配息型-美元-N,"77,831,501","274,457.50",4
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金美國100大企業債券基金-累積型-新臺幣-I,0,0.00,0
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金美國100大企業債券基金-累積型-美元-I,"30,023,586","98,371.90",1
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金全球富裕國家債券基金-累積型-新臺幣,"424,298,893","42,753,640.00",206
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金全球富裕國家債券基金-配息型-新臺幣,"69,967,608","7,412,322.10",28
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金全球富裕國家債券基金-累積型-美元,"129,061,770","441,867.10",26
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金全球富裕國家債券基金-配息型-美元,"36,135,783","130,285.20",6
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金全球富裕國家債券基金-累積型-人民幣,"49,482,247","1,055,984.70",9
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金全球富裕國家債券基金-配息型-人民幣,"30,183,205","688,846.20",6
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金全球富裕國家債券基金-累積型-新臺幣-N,"67,207,742","6,771,661.10",1
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金全球富裕國家債券基金-配息型-新臺幣-N,"4,887,394","517,762.10",1
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金全球富裕國家債券基金-累積型-美元-N,"118,697,780","406,361.50",4
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金全球富裕國家債券基金-配息型-美元-N,"37,907,056","136,503.30",2
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金全球富裕國家債券基金-累積型-人民幣-N,"375,169","8,007.10",1
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金全球富裕國家債券基金-配息型-人民幣-N,"7,006,613","159,909.90",3
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金全球富裕國家債券基金-累積型-新臺幣-I,0,0.00,0
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金四年到期新興市場投資級債券基金-累積型-新臺幣,"438,993,684","45,995,819.60",5
,(本基金有相當比重得投資於非投資等級之高風險債券),,,
AC21,第一金四年到期新興市場投資級債券基金-配息型-新臺幣,"155,715,573","16,658,445.80",4
,(本基金有相當比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金四年到期新興市場投資級債券基金-累積型-美元,"722,349,026","2,540,696.50",4
,(本基金有相當比重得投資於非投資等級之高風險債券),,,
AC21,第一金四年到期新興市場投資級債券基金-配息型-美元,"249,003,675","890,131.40",5
,(本基金有相當比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金四年到期新興市場投資級債券基金-累積型-人民幣,"363,572,972","8,120,575.90",3
,(本基金有相當比重得投資於非投資等級之高風險債券),,,
AC21,第一金四年到期新興市場投資級債券基金-配息型-人民幣,"133,663,693","3,031,475.30",3
,(本基金有相當比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金四年到期新興市場投資級債券基金-累積型-南非幣,"147,219,417","8,158,493.80",3
,(本基金有相當比重得投資於非投資等級之高風險債券),,,
AC21,第一金四年到期新興市場投資級債券基金-配息型-南非幣,"54,900,561","3,109,025.60",3
,(本基金有相當比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AA2,第一金全球Fitness健康瘦身基金-新臺幣,"296,423,261","26,982,066.70",480
AA2,第一金全球Fitness健康瘦身基金-美元,"200,070,758","621,635.20",28
AA2,第一金全球Fitness健康瘦身基金-新臺幣-N,"13,389,637","1,219,465.40",3
AA2,第一金全球Fitness健康瘦身基金-美元-N,"3,657,012","11,362.60",3
AA2,第一金全球Pet毛小孩基金-新臺幣,"204,650,972","18,516,891.70",443
AA2,第一金全球Pet毛小孩基金-美元,"112,586,124","347,570.30",37
AA2,第一金全球Pet毛小孩基金-新臺幣-N,"5,388,580","487,558.10",4
AA2,第一金全球Pet毛小孩基金-美元-N,"7,731,077","23,866.60",3
AA2,第一金全球eSports電競基金-新臺幣,"907,534,919","77,738,486.90","1,038"
AA2,第一金全球eSports電競基金-美元,"727,146,464","2,125,039.40",67
AA2,第一金全球eSports電競基金-新臺幣-N,"44,620,635","3,821,915.40",6
AA2,第一金全球eSports電競基金-美元-N,"72,175,691","210,935.70",4
AC21,第一金四至六年機動到期全球富裕國家投資級債券基金-累積型-新臺幣,"60,602,047","6,461,300.00",2
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-新臺幣,"45,739,619","4,931,800.00",2
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金四至六年機動到期全球富裕國家投資級債券基金-累積型-美元,"600,968,780","2,268,555.20",3
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-美元,"381,064,915","1,454,089.70",3
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金四至六年機動到期全球富裕國家投資級債券基金-累積型-人民幣,"123,277,573","2,903,143.60",3
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-人民幣,"81,788,211","1,957,782.00",3
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,第一金四至六年機動到期全球富裕國家投資級債券基金-累積型-南非幣,"54,125,791","3,207,471.50",3
,(本基金有一定比重得投資於非投資等級之高風險債券),,,
AC21,第一金四至六年機動到期全球富裕國家投資級債券基金-配息型-南非幣,"6,496,965","395,198.90",3
,(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),,,
AB1,第一金中概平衡基金,"284,354,805","6,805,678.50",604
第一金投信,,"106,640,095,836","4,733,934,289.73","45,277"
AB1,匯豐安富基金,"862,054,355","22,192,655.00","2,683"
AA1,匯豐龍鳳基金-A類型,"2,650,259,003","26,879,529.00",609
AA1,匯豐龍鳳基金-I類型,0,0.00,0
AA1,匯豐龍鳳基金-R類型,"1,187,773","12,033.40",1
AA2,匯豐中國動力基金(台幣),"578,346,346","28,378,686.00",544
AA2,匯豐中國動力基金(人民幣),"15,360,118","753,399.80",5
AA2,匯豐中國動力基金(美元),"10,785,399","530,378.70",6
AE22,匯豐雙高收益債券組合基金,"13,589,923","1,034,542.60",22
,(本基金有相當比重投資於高風險非投資等級債券基金),,,
AA2,匯豐黃金及礦業股票型基金,"415,243,085","62,719,656.50",654
AC21,匯豐資源豐富國家債券基金-累積型,"154,633,026","18,083,686.80",149
,(本基金有一定比重投資於非投資等級之高風險債券),,,
AC21,匯豐資源豐富國家債券基金-月配型,"578,070,431","137,872,210.90",377
,(本基金有一定比重投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,匯豐亞洲高收益債券基金-台幣不配息,"47,083,639","4,385,855.30",41
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,匯豐亞洲高收益債券基金-台幣配息,"188,972,885","30,915,296.80",132
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,匯豐亞洲高收益債券基金-人民幣不配息,"14,980,509","1,434,858.50",3
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,匯豐亞洲高收益債券基金-人民幣配息,"38,131,203","4,630,655.30",5
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,匯豐亞洲高收益債券基金-美元不配息,"35,967,571","3,435,208.50",5
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,匯豐亞洲高收益債券基金-美元配息,"55,541,283","6,830,794.80",5
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,匯豐中國高收益債券基金(台幣不配息),"63,930,580","6,453,387.90",52
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,匯豐中國高收益債券基金(人民幣不配息),"14,775,369","1,454,267.70",15
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,匯豐中國高收益債券基金(人民幣配息),"83,652,684","11,711,161.70",20
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,匯豐中國高收益債券基金(台幣配息),"29,704,277","4,408,342.00",28
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC23,匯豐中國高收益債券基金(美元不配息),"605,384","59,691.20",4
,(本基金主要係投資於非投資等級之高風險債券),,,
AC23,匯豐中國高收益債券基金(美元配息),"40,327,444","5,161,361.00",7
,(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),,,
AA2,匯豐中國A股匯聚基金(台幣),"1,168,667,676","60,443,931.30",22
AA2,匯豐中國A股匯聚基金(人民幣),"382,386,351","19,776,994.20",22
AA2,匯豐中國A股匯聚基金(美元),"751,124,565","38,848,133.00",20
AB2,匯豐中國多元資產入息平衡基金(台幣不配息),"51,033,083","4,320,831.00",12
,(本基金有相當比重投資於非投資等級之高風險債券),,,
AB2,匯豐中國多元資產入息平衡基金(台幣月配息),"86,890,930","8,928,121.10",9
,(本基金有相當比重投資於非投資等級之高風險債券且本基金配息來源可能為本金),,,
AB2,匯豐中國多元資產入息平衡基金(人民幣不配息),"53,017,363","892,379.90",11
,(本基金有相當比重投資於非投資等級之高風險債券),,,
AB2,匯豐中國多元資產入息平衡基金(人民幣月配息),"170,555,793","3,414,710.70",10
,(本基金有相當比重投資於非投資等級之高風險債券且本基金配息來源可能為本金),,,
AB2,匯豐中國多元資產入息平衡基金(美元不配息),"80,480,710","216,500.40",4
,(本基金有相當比重投資於非投資等級之高風險債券),,,
AB2,匯豐中國多元資產入息平衡基金(美元月配息),"158,111,421","487,657.90",9
,(本基金有相當比重投資於非投資等級之高風險債券且本基金配息來源可能為本金),,,
AB2,匯豐中國多元資產入息平衡基金(台幣月分配),"8,299,467","768,413.30",3
,(本基金有相當比重投資於非投資等級之高風險債券且本基金配息來源可能為本金),,,
AB2,匯豐中國多元資產入息平衡基金(人民幣月分配),"3,374,401","62,013.50",2
,(本基金有相當比重投資於非投資等級之高風險債券且本基金配息來源可能為本金),,,
AB2,匯豐中國多元資產入息平衡基金(美元月分配),"489,265","1,291.60",3
,(本基金有相當比重投資於非投資等級之高風險債券且本基金配息來源可能為本金),,,
AA2,匯豐中國科技精選基金(台幣),"129,215,510","9,523,940.70",15
AA2,匯豐中國科技精選基金(人民幣),"152,344,803","2,162,134.60",15
AA2,匯豐中國科技精選基金(美元),"276,815,898","616,778.10",14
AA2,匯豐金磚動力基金,"1,155,386,502","70,595,216.10","1,003"
AA2,匯豐新鑽動力基金,"727,999,571","64,257,905.60","1,142"
AE21,匯豐全球趨勢組合基金,"356,705,309","21,327,283.50",449
AA2,匯豐全球關鍵資源基金,"851,794,336","92,911,695.60","1,245"
AA1,匯豐台灣精典基金,"864,589,348","19,240,590.10","1,919"
AA1,匯豐成功基金,"635,259,777","11,137,491.90","1,468"
AC21,匯豐三至四年目標到期新興亞洲債券基金(台幣不配息),0,0.00,0
,(本基金有一定比重投資於非投資等級之高風險債券),,,
AC21,匯豐三至四年目標到期新興亞洲債券基金(台幣季配息),0,0.00,0
,(本基金有一定比重投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,匯豐三至四年目標到期新興亞洲債券基金(人民幣不配息),"114,114,097","2,551,771.90",3
,(本基金有一定比重投資於非投資等級之高風險債券),,,
AC21,匯豐三至四年目標到期新興亞洲債券基金(人民幣季配息),"132,479,456","3,140,618.50",4
,(本基金有一定比重投資於非投資等級之高風險債券且配息來源可能為本金),,,
AC21,匯豐三至四年目標到期新興亞洲債券基金(美元不配息),"266,450,326","944,897.40",4
,(本基金有一定比重投資於非投資等級之高風險債券),,,
AC21,匯豐三至四年目標到期新興亞洲債券基金(美元季配息),"227,836,227","857,359.50",4
,(本基金有一定比重投資於非投資等級之高風險債券且配息來源可能為本金),,,
AE23,匯豐ESG永續多元資產組合基金(台幣不配息),"159,336,314","16,098,736.70",6
,(本基金有相當比重投資於非投資等級之高風險債券基金),,,
AE23,匯豐ESG永續多元資產組合基金(台幣月分配息),"80,895,953","8,173,420.60",5
,(本基金有相當比重投資於非投資等級之高風險債券基金且本基金配息來源可能為本金及收益平準金),,,
AE23,匯豐ESG永續多元資產組合基金(人民幣不配息),"74,643,492","1,728,356.90",3
,(本基金有相當比重投資於非投資等級之高風險債券基金),,,
AE23,匯豐ESG永續多元資產組合基金(人民幣月分配息),"50,903,318","1,178,658.00",4
,(本基金有相當比重投資於非投資等級之高風險債券基金且本基金配息來源可能為本金及收益平準金),,,
AE23,匯豐ESG永續多元資產組合基金(美元不配息),"610,480,898","2,220,392.10",5
